allocation_id,payment_id,assessment_id,line_item_id,revenue_head_code,revenue_head_id,amount_minor,allocation_basis,status,applied_at,reversal_reason
AL-000194,PM-00107,AS-00048,LI-000084,B01110,RH-FBR-B01110,2505000,EXPLICIT,APPLIED,2026-07-29T16:45:00Z,
AL-000195,PM-00107,AS-00049,LI-000085,B01110,RH-FBR-B01110,2740000,EXPLICIT,APPLIED,2026-07-29T16:45:00Z,
AL-000196,PM-00107,AS-00050,LI-000086,B01110,RH-FBR-B01110,2975000,EXPLICIT,APPLIED,2026-07-29T16:45:00Z,
AL-000197,PM-00107,AS-00051,LI-000087,B01110,RH-FBR-B01110,3210000,EXPLICIT,APPLIED,2026-07-29T16:45:00Z,
AL-000198,PM-00107,AS-00052,LI-000088,B01110,RH-FBR-B01110,3445000,EXPLICIT,APPLIED,2026-07-29T16:45:00Z,
AL-000199,PM-00107,AS-00053,LI-000089,B01110,RH-FBR-B01110,3680000,EXPLICIT,APPLIED,2026-07-29T16:45:00Z,
AL-000200,PM-00107,AS-00054,LI-000090,B01110,RH-FBR-B01110,3915000,EXPLICIT,APPLIED,2026-07-29T16:45:00Z,
AL-000201,PM-00107,AS-00055,LI-000091,B01110,RH-FBR-B01110,4150000,EXPLICIT,APPLIED,2026-07-29T16:45:00Z,
AL-000202,PM-00107,AS-00056,LI-000092,B01110,RH-FBR-B01110,4385000,EXPLICIT,APPLIED,2026-07-29T16:45:00Z,
AL-000203,PM-00108,AS-00001,LI-000003,B02391,RH-FBR-B02391,500000,EXPLICIT,APPLIED,2026-07-28T10:05:00Z,
AL-000204,PM-00108,AS-00001,LI-000002,B02388,RH-FBR-B02388,490000,EXPLICIT,APPLIED,2026-07-28T10:05:00Z,
AL-000205,PM-00108,AS-00001,LI-000001,B01101,RH-FBR-B01101,35000000,EXPLICIT,APPLIED,2026-07-28T10:05:00Z,
AL-000206,PM-00108,AS-00002,LI-000005,B02388,RH-FBR-B02388,556500,EXPLICIT,APPLIED,2026-07-28T10:05:00Z,
AL-000207,PM-00108,AS-00002,LI-000004,B01101,RH-FBR-B01101,39750000,EXPLICIT,APPLIED,2026-07-28T10:05:00Z,
AL-000208,PM-00108,AS-00003,LI-000007,B02388,RH-FBR-B02388,623000,EXPLICIT,APPLIED,2026-07-28T10:05:00Z,
AL-000209,PM-00108,AS-00003,LI-000006,B01101,RH-FBR-B01101,44500000,EXPLICIT,APPLIED,2026-07-28T10:05:00Z,
AL-000210,PM-00109,AS-00039,LI-000070,B03115,RH-FBR-B03115,1200000,EXPLICIT,APPLIED,2026-07-28T11:20:00Z,
AL-000211,PM-00109,AS-00039,LI-000069,B03110,RH-FBR-B03110,62000000,EXPLICIT,APPLIED,2026-07-28T11:20:00Z,
AL-000212,PM-00110,AS-00137,LI-000236,R08910,RH-BOR-R08910,50000000,EXPLICIT,APPLIED,2026-07-29T12:00:00Z,
AL-000213,PM-00111,AS-00016,LI-000037,B02389,RH-FBR-B02389,144000,EXPLICIT,REVERSED,2026-07-27T10:45:00Z,CHEQUE_RETURNED
AL-000214,PM-00111,AS-00016,LI-000036,B02341,RH-FBR-B02341,18000000,EXPLICIT,REVERSED,2026-07-27T10:45:00Z,CHEQUE_RETURNED
AL-000215,PM-00111,AS-00017,LI-000039,B02389,RH-FBR-B02389,170400,EXPLICIT,REVERSED,2026-07-27T10:45:00Z,CHEQUE_RETURNED
AL-000216,PM-00111,AS-00017,LI-000038,B02341,RH-FBR-B02341,21300000,EXPLICIT,REVERSED,2026-07-27T10:45:00Z,CHEQUE_RETURNED
AL-000217,PM-00111,AS-00018,LI-000041,B02389,RH-FBR-B02389,196800,EXPLICIT,REVERSED,2026-07-27T10:45:00Z,CHEQUE_RETURNED
AL-000218,PM-00111,AS-00018,LI-000040,B02341,RH-FBR-B02341,24600000,EXPLICIT,REVERSED,2026-07-27T10:45:00Z,CHEQUE_RETURNED
